comedian,full_name,country,bio,birth_year
Louie Anderson,Louie Perry Anderson,USA,"Louis Perry ""Louie"" Anderson (born March 24, 1953) is an American stand-up comedian. Anderson created the cartoon series Life with Louie, has written three books, and was the initial host of the second revival of the game show Family Feud, from 1999 to 2002. Growing up in St. Paul, Minnesota, Louie Anderson was the second-youngest of 11 children in his family. A 1985 marriage to his high-school sweetheart lasted four weeks. Anderson made his network debut as a stand-up comedian on The Tonight Show on November 20, 1981. In late 1985, Anderson was cast as Lou Appleton alongside Bronson Pinchot on the pilot episode of Perfect Strangers for ABC (which was known in this early stage as The Greenhorn). When the show was picked up, Anderson was replaced by Mark Linn-Baker in the role of Appleton (whose first name was then changed from Lou to Larry) as the producers didn't think the chemistry between Anderson and Pinchot was quite right. The show ran for eight seasons on ABC. In 1989, Anderson guest-starred on the first episode of the MuppeTelevision segment of The Jim Henson Hour. In 1995, Anderson created and produced a Saturday morning series for Fox called Life with Louie. The series was based on Anderson's childhood with 10 siblings, a sweet-hearted mother and a loud, war-crazed father. It also detailed how he was picked on for his weight, and how he used comedy to deal with the teasing. The show was a 3-year hit on Fox, and won two Daytime Emmy Awards for Outstanding Performer in an Animated Program. In 1996, Anderson created and starred in The Louie Show for CBS. The show had Anderson playing a psychotherapist in Duluth, Minnesota, and lasted six episodes before being canceled. Anderson later said he was dissatisfied and disappointed with the series, claiming that CBS changed it so much that by the end it wasn't his show anymore.",1953
Louis C. K.,Louis Szekely,USA,"Louis Szekely (born September 12, 1967), known professionally as Louis C.K., is a Mexican American stand-up comedian, television and film writer, actor, editor, and director. He is the star of the eponymous FX comedy series Louie, which he also writes, directs, and edits. Louis C.K. first took the stage in 1984 at an open-mic in Boston, Massachusetts, during the apex of the comedy boom. He was so discouraged by the experience that he didn't perform again for two years. As Boston's comedy scene grew, he gradually achieved success, performing alongside acts such as Denis Leary and Lenny Clarke. In 1989, he moved to New York City. Now in the heart of the comedy world, he performed his act on many televised programs, including Evening at the Improv and Star Search. In 1996 HBO released his first half-hour comedy special. C.K. has performed his stand-up frequently on shows such as Late Show with David Letterman, Late Night with Conan O'Brien, Lopez Tonight, The Tonight Show with Jay Leno, and Jimmy Kimmel Live!. In August 2005, C.K. starred in a half-hour HBO special as part of the stand-up series One Night Stand. Inspired by the work ethic of George Carlin, the comedian who had committed to dropping all of his existing material and starting over every year, C.K. launched his first hour-long special titled Shameless in 2007, which aired on HBO and was later released on DVD. In March of 2008, he recorded a second hour-long special, Chewed Up, which premiered on Showtime Network on October 4, 2008 and went on to be nominated for an Emmy for ""Outstanding Writing in a Comedy or Variety Special."" On April 18, 2009, Louis recorded a concert film titled Hilarious. Unlike his previous specials, which had all been produced for television networks, Hilarious was produced independently, directed by C.K. himself, and sold to Epix and Comedy Central after it was complete. Because of this it was not released until late 2010, and published on DVD and CD in 2011. It is the first stand-up comedy film to be accepted into Sundance. In a 2010 interview, C.K. described returning to stand-up and doing specials after his divorce as a year and a half working ""to catch up to"" the breakup of his marriage which, although portrayed in the HBO series Lucky Louie as fractious, had nonetheless been central to the show and his life. One element in his preparation for stand-up was training in the boxing gym, including with locally well-known Lowell, Massachusetts fighter Micky Ward, trying to ""learn how to ... do the grunt work and the boring, constant training so that you'll be fit enough to take the beating."" On December 10, 2011, Louis C.K. released his fourth full-length special, Live at the Beacon Theater. Like Hilarious, it was produced independently and directed by C.K., but unlike his earlier work, it was distributed digitally on the comedian's website, forgoing both physical and broadcast media. C.K. released the special DRM-free for $5.00 USD, hoping these factors and the direct relationship between the artist and consumer would effectively deter piracy. The end of the film also mentions the release of a new album, recorded at Carnegie Hall the previous year. As of December 21, 2011, the sales of the special from C.K.'s website has earned him over US$1,000,000. The success of the special prompted other comedians, including Jim Gaffigan and Aziz Ansari, to release their own specials with a similar business model. On May 11, 2012, C.K. additionally made two audio-only downloads available for $5.00 USD each (WORD – Live at Carnegie Hall, and the audio version of his first HBO stand-up special, Shameless), as well as an audio-only version of Live at the Beacon Theater.",1967
Lynne Koplitz,Lynne Koplitz,USA,"Lynne Koplitz is an American stand-up comedian and actress. Koplitz was host of Telepictures' nationally syndicated dating show Change of Heart, guest host on NBC's Later, co-host of the Food Network's How to Boil Water, and co-host of Sony Pictures syndicated talk show Life and Style. Her stand-up has appeared on a number of Comedy Central specials, including Premium Blend. She performed at the Montreal Comedy Festival. Koplitz earned a BA in theatre arts from Troy University where she was a member of the Iota Kappa Chapter of Chi Omega in 1989. She performed for a regional theater group in Knoxville, Tennessee, before moving to New York City. Koplitz is one of the comedian contributors to the ""History of the Joke"" on the History Channel, hosted by Lewis Black. Koplitz was featured in a series of advertisements for her alma mater, Troy University. She co-starred on SONY’s syndicated talk show Life and Style with Jules Asner and Kimora Lee Simmons, as well as the NBC shows Extra, The Other Half, and last year’s Shop & Style. Lynne also has her own half-hour special, Comedy Central Presents: Lynne Koplitz, currently in rotation on Comedy Central. She is also currently featured in one of the ""What's Funny About That Time Of The Month"" series of advertisements for Midol, with the ""Sick Boyfriend"" installment. Furthermore, she can also be seen on Z Rock, on IFC, where she plays Dina, the manager of the show's band, ZO2. In 2009 she co-hosted a radio show called ""StarTalk"" along with well-known astrophysicist Dr. Neil deGrasse Tyson. The show is syndicated Sunday afternoons on KTLK (AM) in Los Angeles and WHFS in Washington DC. On September 20, 2010, Koplitz played Sister Rita in a staged reading of the Charles Messina play A Room of My Own at The Theatre at 45 Bleecker Street in Greenwich Village. Koplitz appears on the We tv series Joan Knows Best.",1989
Marc Maron,Marc Maron,USA,"Marc Maron (born September 27, 1963) is an American stand-up comedian, podcast host and actor. He has been host of The Marc Maron Show and co-host of both Morning Sedition and Breakroom Live, all politically oriented shows produced by Air America Media. He hosted Comedy Central's Short Attention Span Theater for a year, replacing Jon Stewart. Maron has been a frequent guest on the Late Show with David Letterman and made more than 40 appearances on Late Night with Conan O'Brien, more than any other standup performer. He was also a regular guest on Tough Crowd with Colin Quinn and hosted the short-lived American version of the British game show Never Mind the Buzzcocks on VH1. In September 2009, Maron began hosting a twice-weekly podcast titled WTF with Marc Maron in which he interviews comedians and celebrities. In May 2013 he co-wrote and starred in his own IFC TV series, Maron.",1963
Margaret Cho,Margaret Moran Cho,USA,"Margaret Moran Cho (born December 5, 1968) is an American comedian, fashion designer, actress, author, and singer-songwriter. Cho, of Korean ancestry, is best known for her stand-up routines, through which she critiques social and political problems, especially those pertaining to race and sexuality. She has also directed and appeared in music videos and has her own clothing line. She has frequently supported LGBT rights and has won awards for her humanitarian efforts on behalf of women, Asians, and the LGBT community. As an actress she has played parts such as Charlene Lee in It's My Party and that of John Travolta's FBI colleague in the action movie Face/Off. She is part of the TV series Drop Dead Diva on Lifetime Television, playing the role of Teri Lee, a paralegal assistant. Cho was born into a Korean family in San Francisco, California. She grew up in a racially diverse neighborhood in the 1970s and 1980s, which she described as a community of ""old hippies, ex-druggies, burn-outs from the '60s, drag queens, Chinese people, and Koreans. To say it was a melting pot — that's the least of it. It was a really confusing, enlightening, wonderful time."" Cho's parents, Young-Hie and Seung-Hoon Cho, ran Paperback Traffic, a bookstore on Polk Street at California Street in San Francisco. Her father writes joke books and a newspaper column in Seoul, South Korea. After Cho expressed an interest in performance, she auditioned and was accepted into the San Francisco School of the Arts, an area arts high school. While at the school, she became involved with the school's improvisational comedy group alongside actor Sam Rockwell. After doing several shows in a club adjacent to her parents' bookstore, Cho launched a stand-up career and spent several years developing her material in clubs. Cho's career began to build after appearances on television and university campuses. In 1992, she appeared on the unsuccessful Golden Girls spin-off The Golden Palace in a small role. In 1994, Cho won the American Comedy Award for Best Female Comedian. In 2010, on The View, she discussed her nervousness about doing The Golden Palace and thanked the late Rue McClanahan for her help with rehearsing. Also in the early years of her career, she secured a coveted spot as opening act for Jerry Seinfeld and was featured on a Bob Hope special. She was also a frequent visitor to The Arsenio Hall Show.",1968
Maria Bamford,Maria Bamford,USA,"Maria Bamford (born September 3, 1970) is an American stand-up comedian and voice actress. She is best known for her portrayal of her dysfunctional family and self-deprecating comedy involving jokes about depression and anxiety. Her comedy style is surreal, and incorporates voice impressions of various character types. Bamford was born at the naval base in Port Hueneme, California, where her father Joel was serving as a Navy doctor. She grew up in Duluth, Minnesota, where she attended Chester Park Elementary and The Marshall School. She went on to attend Bates College, the University of Edinburgh, and the University of Minnesota, where she earned a degree in Creative Writing. She started doing stand-up in Minneapolis, Minnesota, at age nineteen, at Stevie Ray's Comedy Cabaret. Bamford then joined Edinburgh's improvised comedy show The Improverts. Maria has one sister, Sarah Bamford Seidelmann. Bamford has been in a number of movies and television shows, including voice appearances in cartoons. Most notably, she was the voice of Shriek in CatDog and a huge selection of secondary characters in Cartoon Network's Adventure Time and Mrs. Botsford on the long running PBS educational series WordGirl. The best-known aspect of her act is her various impersonations (including her mother and her agent). Her stand-up comedy often takes the form of vignettes rather than the standard setup/punchline format. Bamford was featured in the documentary series The Comedians of Comedy on Comedy Central and Showtime, and appeared in short skits titled ""The Maria Bamford Show"" broadcast on the now defunct website Super Deluxe. She also appears on the comedy compilation CD Comedy Death-Ray. Her last album, produced by Comedy Central Records and called Unwanted Thoughts Syndrome, was released in April 2009 and includes a DVD containing ""The Maria Bamford Show"" episodes. During the Christmas 2009-2010 shopping seasons, Bamford was featured in a series of Target commercials, portraying an overachieving shopper determined to be first in line. For Christmas 2009, she released a free stand-up special online as a gift to her fans. In 2012 she released The Special Special Special for download through Chill.com. The special was recorded with only Bamford's parents as an audience. In 2013, Maria created and stars in a web series called 'Ask My Mom.' Maria plays both herself and her mom, who answers questions sent in by fans. She provides the voice of Pema in Nickelodeon cartoon The Legend of Korra. In 2013, she appeared in season four of Arrested Development as Debrie Bardeaux, Tobias Funke's love interest.",1970
Mario Cantone,Mario Cantone,USA,"Mario Cantone (born December 9, 1959) is an American stand-up comedian, writer and actor, with numerous appearances on Comedy Central including Chappelle's Show. He also played Anthony Marentino on Sex and the City. His style is fast-paced and energetic, with much of his humor coming from his impersonations of various characters ranging from his family members, to celebrities, to stereotypes. Cantone was born in Stoneham, Massachusetts. His first major gig was hosting a children's show called Steampipe Alley, which aired on New York-New Jersey superstation WWOR-TV from 1988 to 1993. He occasionally does stand-up concerts where, in addition to impressions of Liza Minnelli, Judy Garland, Bruce Springsteen, and others, he sings original comedic songs such as ""Laugh Whore"" and an ode to being in love with a bat. Much of his comedy derives from the fact that he is gay, camp, and Italian-American.",1959
Mark Curry,Mark G. Curry,USA,"Mark G. Curry (born June 1, 1961) is an American actor, comedian, and host. He is best known as the star of the ABC sitcom Hangin' with Mr. Cooper, and as one of the various hosts of the syndicated series It's Showtime at the Apollo. Curry currently stars in Nick At Nite's first-ever original live-action family comedy series, See Dad Run as Scott Baio's best friend Marcus. Mark Curry was born in Oakland, California as the youngest child out of nine. He attended St. Joseph Notre Dame High School in Alameda, California and California State University, East Bay in Hayward, CA. Mark Curry's first role was in the film Talkin' Dirty After Dark, alongside Martin Lawrence in 1991. In 1992, Curry's first major role was on television series Hangin' with Mr. Cooper, where he played the lead role of Mark Cooper, an NBA player-turned-substitute teacher/gym coach. Curry appeared two episodes of The Jamie Foxx Show as eccentric driving instructor Sergeant Easy. In addition, he also had guest starring roles on television series Living Single in 1994 and Martin in 1997, and minor roles in the films Switchback and Armageddon in 1998. In 2000, Curry also had a recurring role on The Drew Carey Show as Drew's boss at Winfred-Louder. He appeared in six episodes. In an April Fools' episode of The Drew Carey Show, Drew refers to Mr. Soulard as Mr. Cooper, the joke being that Curry played both roles He was the host of Comedy Central's Don't Forget Your Toothbrush in 2000 and had minor roles in For Your Love, which starred Hangin' with Mr. Cooper co-star, Holly Robinson Peete). Also, in 2000, Curry starred in A Man Is Mostly Water. In 2001 had a minor role in the Disney Channel Original Movie Motocrossed. Later in the year, Curry played one of the leads in another Disney Channel Original Movie, The Poof Point. Curry was the host of the PAX-TV show Animal Tails and BET's ""Coming to the Stage"" in 2003. In 2004, he appeared on Celebrity Mole Yucatan. He came in second place to Dennis Rodman. In 2005, had guest starring roles in Less Than Perfect and Fat Actress. On November 30, 2008, Mark performed a stand-up comedy routine on The Comedy Festival Laffapalooza Special, hosted by Tracy Morgan.[3] In 2009-2011, Curry hosted Jamie Foxx's ""FoxxHole Live"" every Monday in the Conga Room in Los Angeles, which was heard on Satellite Radio sirus 106/XM 149. In 2012, Curry joined Sommore, Earthquake, Bruce Bruce and Tony Rock on the ""Royal Comedy Tour."" Many spectators have viewed Curry's stand-up comedy performance as the highlight of the show leaving the audience in hysterical laughter. As of 2013, Curry is still on the Royal Comedy Tour. Later in 2012, Curry joined Nick At Nite's first-ever original live-action family comedy series, See Dad Run as Scott Baio's friend Marcus. On December 19, 2012. Nick at Nite renewed the series for a second season of 20 episodes.",1961
Martin Lawrence,Martin Fitzgerald Lawrence,Germany,"Martin Fitzgerald Lawrence (born April 16, 1965) is an American actor, film director, film producer, screenwriter, and stand up comedian. He came to fame during the 1990s, establishing a Hollywood career as a leading actor, most notably the films Bad Boys, Blue Streak, and Big Momma's House. Lawrence has acted in numerous film roles and starred in his own television series, Martin, which ran from 1992 to 1997. Lawrence, second of six children, was born in Frankfurt am Main, Hessen in Germany on April 16, 1965, to American parents. He was given his first name after civil rights leader Martin Luther King, Jr. and his middle name after US President John F. Kennedy. His father, John Lawrence, served in the U.S. military. After his parents divorced when he was eight, Lawrence rarely saw his father, who worked as a police officer at the time. His mother, Chlora (née Bailey), began working several jobs to support her family. During his teen years, Lawrence excelled at boxing. He lived in Maryland, and attended Thomas G. Pullen School of Creative and Performing Arts (Landover, Maryland), Fairmont Heights High School (Fairmount Heights, Maryland), Eleanor Roosevelt High School, and also Friendly High School in Fort Washington, Maryland, becoming a Mid-Atlantic Golden Gloves boxing contender.",1965
Maz Jobrani,Maziyar Jobrani,Iran,"Maziyar “Maz” Jobrani (born February 26, 1972) is an Iranian-born American comedian and actor who is part of the ""Axis of Evil"" comedy group. The group appeared on a comedy special on Comedy Central. Jobrani has also appeared in numerous films, television shows, including Better Off Ted, on radio, and in comedy clubs. His filmography includes roles in The Interpreter, Friday After Next, and Dragonfly. Jobrani was born in Tehran, Iran. He and his parents moved to California when he was six years old. He was raised in Tiburon in the San Francisco Bay area. He attended Redwood High School in Larkspur. Jobrani studied political science and Italian at UC Berkeley, where he received a B.A. degree. He was enrolled in a Ph.D. program at UCLA when he decided to pursue his childhood dream of acting and performing comedy. Jobrani has since made appearances on shows like The Colbert Report, The Tonight Show with Jay Leno, The Late Late Show with Craig Ferguson, Talkshow with Spike Feresten, ""Whitney"", and regularly performs at top comedy clubs (in California and New York) such as The Comedy Store. He made an appearance as a dental patient on an episode of Still Standing, in the pilot episodes of Better Off Ted, The Knights of Prosperity, on an episode of Cedric the Entertainer Presents and on an episode of The West Wing as a Saudi prince. He also made an appearance in 13 Going on 30. He has toured with the Axis of Evil Comedy Tour. He provided the voice of Ahmed Farahnakian in the audiobook version of World War Z. Jobrani has written a movie with a friend called Jimmy Vestvood: American Hero. Jobrani makes occasional appearances on NPR's news quiz show Wait Wait... Don't Tell Me!. He appeared on episode 118, October 28, 2010 of WTF with Marc Maron Jobrani's jokes focus on race and the misunderstanding of Middle Easterners in America. He also talks about his family.",1972
Mike Birbiglia,Michael Birbiglia,USA,"Mike Birbiglia (born June 20, 1978) is an American comedian, writer, actor, and director. Birbiglia was born in Shrewsbury, Massachusetts, the son of Mary Jean (née McKenzie) and Vincent Paul Birbiglia. He is of part Italian descent. Birbiglia attended St. John's High School, Shrewsbury, Massachusetts for one year, and graduated from St. Mark's School, Southborough, Massachusetts in 1996 and subsequently graduated from Georgetown University in 2000. During college Birbiglia performed as a member of the Georgetown Players Improv Troupe. Birbiglia has starred in three Comedy Central specials and has released three albums with Comedy Central Records: Two Drink Mike (2006), My Secret Public Journal Live (2007), and Sleepwalk With Me Live (2011). My Secret Public Journal Live was named one of the best comedy albums of the decade by the Onion AV Club and Sleepwalk With Me Live debuted at #1 on the Billboard Magazine Comedy Charts. In 2008, Birbiglia opened Sleepwalk With Me, a one-man show that straddled standup comedy and theater, off-Broadway at the Bleecker Street Theatre. The show was presented by Nathan Lane and the New York Times called it ""simply perfect."" Time Out New York named it their ""Show of the Year"" in 2009. Birbiglia followed up his theatrical debut with Sleepwalk With Me & Other Painfully True Stories, a book which debuted as # 29 on the hardcover nonfiction New York Times Bestseller List and number four on the hardcover nonfiction section of the Washington Post Political Bookworm Best Sellers. Birbiglia was also a finalist for the 2011 Thurber Prize for American Humor for Sleepwalk With Me & Other Painfully True Stories. In 2011, Birbiglia mounted his second one-man show, My Girlfriend's Boyfriend, which ran for four months off-Broadway and won the Lucille Lortel Award for Outstanding Solo Show. Birbiglia is currently touring My Girlfriend's Boyfriend around the world with tour dates in the US, Australia, Canada, and the UK. Birbiglia made his feature film debut with Sleepwalk with Me, a film based on his one-man show of the same name which he wrote, directed, and starred in. The film premiered at the 2012 Sundance Film Festival and won the NEXT Audience Award. It was selected in the ""Festival Favorites"" category at the South By Southwest Film Festival in Austin, TX and also appeared in the Nantucket Film Festival where it won the award for best writer/director. The film was produced by Jacob Jaffke and This American Life's Ira Glass and stars Birbiglia, Lauren Ambrose, Carol Kane, James Rebhorn, and Cristin Milioti and has cameos by Kristen Schaal, Wyatt Cenac, David Wain, Jessi Klein, John Lutz and Marc Maron. In addition to starring in Sleepwalk With Me, Birbiglia has acted in the films Going the Distance, Cedar Rapids, and Your Sister's Sister, and in the HBO series, Girls.",1978
Mike DeStefano,Mike DeStefano,USA,"Mike DeStefano (November 29, 1966 – March 6, 2011) was an American stand-up comedian. He used material from his heroin addiction, which began at age 15, and his recovery in brutally honest, profanity-laced routines. He also was a drug counselor to others. His first gig was in Florida and convinced him there was something to live for, and he had options outside of taking his own life. His second gig was at a Narcotics Anonymous convention in Atlanta, Georgia, where he stepped before the microphone after a rained-out pool party and started ranting about drugs. A regular at clubs in New York and around the country, DeStefano gained popularity after appearing on television on Comedy Central’s Live at Gotham. He also appeared on Late Night with Conan O'Brien, Showtime's Whiteboyz in the Hood and other radio and television shows, and at popular comedy festivals, most notably US Comedy Arts Festival and Montreal's Just for Laughs festival. In 2010, he competed in the seventh season of NBC's Last Comic Standing and finished in fourth place. On October 9, 2010 DeStefano appeared with Jim Norton, Rich Vos and Robert Kelly in the Comedy Central stand-up special ""Comics Anonymous""; all four comedians appearing in the special were former addicts who had been clean and sober for 10 years or more. DeStefano was also an executive producer on the special, which was dedicated to their friend, comedian Greg Giraldo, who had died of a drug overdose the month before.",1966
Mike Epps,Michael Elliot Epps,USA,"Michael Elliot ""Mike"" Epps (born November 18, 1970) is an American stand-up comedian, actor, film producer, writer and rapper. He is best known for playing Day-Day Jones in Next Friday and the sequel-to-the-sequel, Friday After Next, and also appearing in The Hangover, as ""Black Doug"". He was the voice of Boog in Open Season 2 (the sequel to Open Season), but was replaced by Matthew J. Munn in Open Season 3. As of 2010, Epps was the executive producer on a documentary about the life story of a former member of Tupac Shakur's Outlawz, Napoleon: Life of an Outlaw. He is also known for playing L.J. in Resident Evil: Apocalypse and Resident Evil: Extinction in 2004 and 2007 respectively. Epps was born at Wishard Hospital in Indianapolis, Indiana, the son of Mary Reed and Tommy Epps. Epps' natural comedic ability was encouraged at an early age, and he began performing stand-up as a teenager. Epps moved to Atlanta where he worked at the Comedy Act Theater, before moving to Brooklyn to star in Def Comedy Jam in 1995. Epps ended up on the Def Comedy Jam tour and starred in two of HBO's Def Comedy Jam broadcasts. Epps began his professional career by joining the Def Comedy Jam tour in 1995 and starred in two of HBO's Def Comedy Jam broadcasts.",1970
Milton Berle,Milton Berlinger,USA,"Milton Berle (born Milton Berlinger, July 12, 1908 – March 27, 2002) was an American comedian and actor. As the host of NBC's Texaco Star Theater (1948–55), he was the first major American television star and was known to millions of viewers as ""Uncle Miltie"" and ""Mr. Television"" during TV's golden age. Milton Berlinger was born into a Jewish family in a five-story walkup at 68 W. 118th Street in the Harlem neighborhood of Manhattan. He chose Milton Berle as his professional name when he was 16. His father, Moses Berlinger (1873–1938), was a paint and varnish salesman. His mother, Sarah (Sadie) Glantz Berlinger (1877–1954), eventually became stagestruck and changed her name to Sandra Berle when Milton became famous.",1908
Mitch Fatel,Mitch Faytel,USA,"Mitch Fatel (born Mitch Faytel in 1968 in Manhattan) is a stand-up comedian. He was raised in Yonkers, New York and began doing stand-up at the age of 15. In 1988 Fatel attended NYU/Tisch School of the Arts and majored in Film and Acting Studies. Around this time Mitch was an intern on The Howard Stern Show. When Mitch left the show he brought in a friend of his, John Melendez. John went on to take his place as intern and became known as ""Stuttering John"". Fatel performs regularly at the famed Comedy Cellar. He has performed on the Late Show with David Letterman and Late Night with Conan O'Brien and worked as a correspondent on The Tonight Show with Jay Leno. In 2006 Mitch took home honors as the ""Best Stand-Up Comedian"" at the Aspen Comedy Festival. In 2004, he released a CD entitled Miniskirts and Muffins. Fatel had his own half-hour special on April 10, 2007 at 10PM on Comedy Central Presents which was ranked number 6 by viewers in the ""Stand Up Showdown"". Tracks from Fatel's CDs are often heard on XM Comedy 150 on XM Satellite Radio on Sirius Satellite Radio's Raw Dog Comedy 104 and on Pandora Radio XM Satellite Radio broadcast a half-hour Mitch Fatel special performed live on July 16, 2005 in Manhattan. He released a second CD in 2005 entitled Super Retardo. His third album ""Public Displays of Perversion"" was released in 2013. His radio show Sex and Swinging with Mitch and Jessica with his fiance Jessica Mayhugh debuted on Sirius/XM Channel 101 (Howard 101) on Monday March 28, 2012.",1968
Mitch Hedberg,Mitchell Lee Hedberg,USA,"Mitchell Lee ""Mitch"" Hedberg (February 24, 1968 – March 29, 2005) was an American stand-up comedian known for his surreal humor and unconventional comedic delivery. His comedy typically featured short, sometimes one-line jokes mixed with absurd elements and non sequiturs. Hedberg's comedy and onstage persona gained him a cult following, with audience members sometimes shouting out the punchlines to his jokes before he could finish them. Mitch Hedberg was born February 24, 1968, in Saint Paul, Minnesota, the son of Swedish immigrants Arne and Mary Hedberg. He graduated from Harding High School in Saint Paul. Hedberg began his standup career in Florida, and after a period of honing his skills, he moved to Seattle and began to tour. He soon appeared on MTV's Comikaze, followed by a 1996 appearance on The Late Show with David Letterman that brought him his big break. He won the 1997 grand prize at the Seattle Comedy Competition. The next year he appeared in an episode of Fox's series That '70s Show. In 1999 he completed his own independent feature film, Los Enchiladas!, which he wrote, directed, produced, and starred in. He recorded three comedy CDs: Strategic Grill Locations, Mitch All Together, and Do You Believe in Gosh?, the last released posthumously. He also appeared at the Montreal Just For Laughs comedy festival in 1998 and 2001. Concurrent with his rising fame in the entertainment industry, Hedberg appeared on Letterman nine more times, signed a half-million dollar deal with Fox for a television sitcom, and was dubbed ""the next Seinfeld"" by Time Magazine. George Carlin, Dave Chappelle, Doug Stanhope, Mike Birbiglia and Lewis Black were reportedly among his comedian fans.",1968
Mo'Nique,Monique Angela Imes,USA,"Monique Angela Hicks (née Imes; born December 11, 1967), known professionally as Mo'Nique, is an American comedian and actress. Mo'Nique rose to fame in the UPN series The Parkers while making a name as a stand-up comedian hosting a variety of venues, including Showtime at the Apollo. Mo'Nique transitioned to film with roles in such films as Phat Girlz, and Welcome Home Roscoe Jenkins. In 2009, she received critical praise for her villainous role in the film Precious and won numerous awards including the Academy Award for Best Supporting Actress. She hosted The Mo'Nique Show, a late-night talk show that premiered in 2009 on BET; it was cancelled in 2011. Mo'Nique was born in Baltimore, Maryland, to Steven Imes, Jr., a drug counselor, and Alice Imes, an engineer. She is the youngest of four children: sister Millicent is her personal assistant; brother Steve is her manager. Mo'Nique graduated from Milford Mill High School in Baltimore County and attended Morgan State University. She is a 1987 graduate of the Broadcasting Institute of Maryland. Before working in her chosen career, Mo'Nique worked as a phone operator. She got her start in comedy at the downtown Baltimore Comedy Factory Outlet, when her brother Steve dared her to perform at an open mic night. Mo'Nique revealed during an interview with Essence magazine in 2008 that she was sexually abused by her brother, Gerald, from the age of seven until she was eleven. He went on to sexually abuse another girl and was sentenced to 12 years in prison. After her twin boys were born in 2005 she cut all contact with her brother and they have not spoken since. On April 19, 2010, Mo'Nique's brother admitted on Oprah to sexually abusing her and that the abuse continued for over several years. Her brother, who has struggled with substance abuse, was also abused himself by other family.",2005
Moms Mabley,Loretta Mary Aiken,USA,"Jackie ""Moms"" Mabley (March 19, 1894 – May 23, 1975), born Loretta Mary Aiken, was an American standup comedian and a pioneer of the so-called ""Chitlin' Circuit"" of African-American vaudeville. Mabley was born in Brevard, North Carolina. Although she always claimed a birthdate of 1894 and that she was one of a family of twenty children, the 1900 Federal Census shows ""Loretter Aiken"" in Brevard was born in March 1897 and was the youngest of four (out of five) surviving children of James P. and Mary Aiken. Her father owned and operated several businesses, while her mother kept house and took in boarders. Her father died in an accident when Loretta was eleven. In 1910, her mother took over their primary business, a general store. James Aiken's father, Henry Aiken, was part white. His mother, Bettie, was able to read and write in the 1870 census, five years after the abolition of slavery, which suggests she may have been a free woman of color. Loretta Mabley's genealogist, D. Richmond, wrote: ""She has a very interesting lineage worth researching."" By the age of fifteen, Mabley had been raped twice and had two children who were given up for adoption. She was pressured by her stepfather to marry a much older man, but was encouraged by her grandmother to strike out on her own. Mabley ran away to Cleveland, Ohio, joining a traveling minstrel show, where she sang and entertained. She took her stage name, Jackie Mabley, from an early boyfriend, commenting to Ebony in a 1970s interview that he'd taken so much from her, it was the least she could do to take his name. Later she became known as ""Moms"" because she was indeed a ""Mom"" to many other comedians on the circuit in the 1950s and 1960s. She came out as a lesbian at the age of twenty-seven, becoming one of the first triple-X rated comedians on the comedy circuit. During the 1920s and 1930s she appeared in androgynous clothing (as she did in the film version of The Emperor Jones with Paul Robeson) and recorded several of her early ""lesbian stand-up"" routines. Mabley was one of the top women doing stand-up in her heyday, eventually recording more than 20 albums of comedy routines. She appeared in movies, on television, and in clubs, and performed at the Michigan Women's Festival shortly before her death in 1975. Mabley was one of the most successful entertainers of the Chitlin' circuit, earning US$10,000 a week at Harlem's Apollo Theater at the height of her career. She made her New York City debut at Connie's Inn in Harlem. In the 1960s, she become known to a wider white audience, playing Carnegie Hall in 1962, and making a number of mainstream TV appearances, particularly her multiple appearances on the The Smothers Brothers Comedy Hour when that CBS show was number one on television in the late 1960s, which introduced her to a whole new Boomer audience. Mabley was billed as ""The Funniest Woman in the World"". She tackled topics too edgy for many other comics of the time, including racism. One of her regular themes was a romantic interest in handsome young men rather than old ""washed-up geezers,"" and she got away with it courtesy of her stage persona, where she appeared as a toothless, bedraggled woman in a house dress and floppy hat. She also added the occasional satirical song to her jokes, and her cover version of ""Abraham, Martin and John"" hit #35 on the Hot 100 on 19 July 1969. At 75 years old, Moms Mabley became the oldest person ever to have a US Top 40 hit. She is the subject of a documentary called Moms Mabley: I Got Somethin’ to Tell You, produced and directed by Whoopi Goldberg, to air in Autumn 2013 on HBO.",1975
